Brand,Brand_Category,Size_ML,Date,Qty
LE GRAND NOIR CABERNET SAUVIGNON,B.I.O.,750,01/05/2024,0
LE GRAND NOIR MALBEC RED WINE,B.I.O.,750,01/05/2024,0
LE GRAND NOIR ROSE WINE,B.I.O.,750,01/05/2024,0
LE GRAND NOIR CHARDONNAY WHITE WINE,B.I.O.,750,01/05/2024,0
LE GRAND NOIR PINOT NOIR RED WINE,B.I.O.,750,01/05/2024,0
LUCIFER'S GOLD A BLEND OF BOURBON & SCOTCH WHISKY,B.I.O.,700,01/05/2024,0
MATEUS THE ORIGINAL ROSE WINE,B.I.O.,750,01/05/2024,0
MOET AND CHANDON ROSE IMPERIAL CHAMPAGNE BRUT,B.I.O.,750,01/05/2024,0
MONKEY SHOULDER THE ORIGINAL BLENDED MALT SCOTCH WHISKY,B.I.O.,700,01/05/2024,0
MONKEY 47 SCHWARZWALD DRY GIN,B.I.O.,500,01/05/2024,0
MONTE PACIFICO MERLOT,B.I.O.,750,01/05/2024,0
MONTE PACIFICO CHARDONNAY,B.I.O.,750,01/05/2024,0
NAPOLEON PURE GRAPE BRANDY V.S.O.P.,B.I.O.,750,01/05/2024,0
OUTBACK JACK CABERNET MERLOT,B.I.O.,750,01/05/2024,0
PEDRERA BLANCO WHITE WINE,B.I.O.,750,01/05/2024,0
PEDRERA MONASTREL RED WINE,B.I.O.,750,01/05/2024,0
PEDRERA ROSADO ROSE WINE,B.I.O.,750,01/05/2024,0
PREMIUS BORDEAUX ROUGE WINE,B.I.O.,750,01/05/2024,0
PREMIUS BORDEAUX SAUVIGNON WINE,B.I.O.,750,01/05/2024,0
RIUNITE LAMBRUSCO EMILIA SWEET RED WINE,B.I.O.,750,01/05/2024,0
ROKU GIN,B.I.O.,700,01/05/2024,0
ROYAL SALUTE 21 YEARS OLD BLENDED SCOTCH WHISKY,B.I.O.,700,01/05/2024,0
RUSSIAN STANDARD VODKA,B.I.O.,750,01/05/2024,0
SANGRE DE TORO ORIGINAL RED WINE,B.I.O.,750,01/05/2024,0
SCHWARTZHOG KRAUTER LIQUEUR,B.I.O.,750,01/05/2024,0
SIERRA TEQUILA REPOSADO,B.I.O.,700,01/05/2024,0
SIERRA TEQUILA SILVER,B.I.O.,700,01/05/2024,0
ST-REMY XO FRENCH BRANDY,B.I.O.,700,01/05/2024,0
TENJAKU BLENDED WHISKY,B.I.O.,700,01/05/2024,0
TENJAKU CRAFT GIN,B.I.O.,700,01/05/2024,0
THE ARDMORE HIGHLAND SINGLE MALT SCOTCH WHISKY,B.I.O.,700,01/05/2024,0
THE BUSH RUM ORIGINAL SPICED,B.I.O.,700,01/05/2024,0
THE GLEN GRANT SINGLE MALT SCOTCH WHISKY AGED 10 YEARS,B.I.O.,750,01/05/2024,0
THE GLEN GRANT SINGLE MALT SCOTCH WHISKY AGED 12 YEARS,B.I.O.,750,01/05/2024,0
THE GLENLIVET 12 YEARS SINGLE MALT SCOTCH WHISKY,B.I.O.,700,01/05/2024,0
THE KING LUIS XIII BRANDY,B.I.O.,700,01/05/2024,0
THE SEXTON SINGLE MALT IRISH WHISKEY,B.I.O.,700,01/05/2024,0
TOKI SUNTORY WHISKY,B.I.O.,700,01/05/2024,0
TRES PICOS GANARCHA RED WINE,B.I.O.,750,01/05/2024,0
VILLA SANDI PROSECCO SPARKLING WHITE WINE BRUT,B.I.O.,750,01/05/2024,0
VINASOL ORIGINAL WHITE WINE,B.I.O.,750,01/05/2024,0
VIVA EL RON DE CUBAN WHITE RUM,B.I.O.,700,01/05/2024,0
WILD TURKEY KENTUCKY STRAIGHT BOURBON WHISKEY,B.I.O.,750,01/05/2024,0
X-RATED FUSION LIQUEUR,B.I.O.,750,01/05/2024,0
CLIFF HANGER,Semi Premium Brand,180,01/05/2024,2
8 P.M BLACK,Semi Premium Brand,180,01/05/2024,3
8 P.M BLACK,Semi Premium Brand,375,01/05/2024,2
8 P.M BLACK,Semi Premium Brand,700,01/05/2024,2
BLUE LAGOON GIN,Semi Premium Brand,375,01/05/2024,1
